0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.711437,Private,190784.81,Some-college,10.160649,Divorced,Adm-clerical,Not-in-family,White,Female,1117.9182,97.77335,41.075733,United-States,<=50K
38.79254,Private,190638.05,Some-college,10.160626,Divorced,Adm-clerical,Not-in-family,White,Female,1116.8766,97.76693,40.980534,United-States,<=50K
51.71731,Private,190645.69,Some-college,10.160795,Married-civ-spouse,Exec-managerial,Husband,White,Male,1116.8,97.76126,49.50624,United-States,>50K
38.62153,Private,190892.97,Some-college,10.160624,Divorced,Adm-clerical,Not-in-family,White,Female,1116.7717,97.76836,40.980244,United-States,<=50K
38.621376,Private,190635.5,HS-grad,10.160584,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1116.7424,97.82298,40.980293,United-States,<=50K
45.490314,Private,190641.06,Some-college,10.161528,Divorced,Other-service,Not-in-family,White,Male,1116.8206,97.76253,41.119698,United-States,<=50K
38.62224,Private,190638.45,Bachelors,12.712647,Married-civ-spouse,Prof-specialty,Husband,White,Male,1117.2378,97.77812,47.5331,United-States,>50K
38.6214,Private,191712.53,Some-college,10.160622,Married-civ-spouse,Prof-specialty,Husband,White,Male,1116.7845,97.76543,40.980106,United-States,<=50K
40.831726,Private,191069.25,HS-grad,10.160601,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1141.0593,97.75463,52.8427,United-States,<=50K
38.62153,Private,190636.7,Assoc-voc,11.209137,Divorced,Other-service,Unmarried,White,Female,1117.2825,98.26003,40.982346,United-States,<=50K
38.621708,Private,190728.14,Assoc-voc,10.357091,Married-civ-spouse,Exec-managerial,Wife,White,Female,1183.9906,98.07901,41.42482,United-States,>50K
40.189148,Self-emp-not-inc,194773.36,Bachelors,12.712647,Divorced,Prof-specialty,Not-in-family,White,Male,1187.0128,98.06427,52.75807,United-States,>50K
44.932,Private,293107.84,HS-grad,10.160598,Married-civ-spouse,Craft-repair,Husband,White,Male,1117.5273,97.75456,40.982914,United-States,<=50K
40.81881,Private,190635.72,Some-college,10.160815,Never-married,Adm-clerical,Unmarried,Black,Female,1117.2183,97.75477,40.980137,United-States,<=50K
38.621227,Private,292851.62,Some-college,10.160606,Separated,Sales,Own-child,White,Female,1116.74,97.75448,40.980133,United-States,<=50K
38.650597,Private,293128.12,Some-college,10.160597,Married-civ-spouse,Other-service,Unmarried,White,Female,1116.801,97.7545,40.98024,United-States,<=50K
43.267353,Private,286438.3,HS-grad,10.16185,Divorced,Craft-repair,Not-in-family,White,Male,1238.4657,97.7594,40.981407,United-States,<=50K
38.622444,Private,249214.67,HS-grad,10.369801,Married-civ-spouse,Prof-specialty,Husband,White,Male,1117.6967,99.71833,40.980972,United-States,<=50K
38.62131,Private,190635.4,Some-college,10.160584,Never-married,Other-service,Own-child,White,Female,1116.7695,97.754486,40.980095,United-States,<=50K
38.62184,Private,190785.8,Assoc-voc,12.32556,Married-civ-spouse,Exec-managerial,Husband,White,Male,1118.4182,97.77604,52.841232,United-States,<=50K
38.621147,Private,190637.42,Some-college,10.160624,Never-married,Handlers-cleaners,Not-in-family,White,Male,1116.8059,97.75473,41.03948,United-States,>50K
45.348732,Private,190641.42,HS-grad,10.160592,Separated,Machine-op-inspct,Not-in-family,White,Male,1116.7494,97.754524,40.982666,United-States,<=50K
38.621162,Private,190635.44,HS-grad,10.160732,Married-civ-spouse,Exec-managerial,Husband,White,Male,1116.7623,97.76296,40.98126,United-States,<=50K
51.706524,Private,190680.12,Bachelors,11.084505,Married-civ-spouse,Exec-managerial,Husband,White,Male,1851.863,97.76928,51.77572,United-States,>50K
38.621376,Private,190655.52,Bachelors,12.322966,Never-married,Craft-repair,Own-child,White,Male,1116.8298,97.75471,40.980656,United-States,<=50K
38.640133,Private,191299.72,Some-college,10.160585,Never-married,Other-service,Not-in-family,Black,Male,1117.9813,97.75453,42.148624,United-States,<=50K
38.621857,Private,291653.9,Some-college,10.3604965,Never-married,Sales,Own-child,White,Male,1116.8007,97.75448,52.571808,United-States,<=50K
40.938744,Private,190822.92,HS-grad,10.1606455,Divorced,Craft-repair,Not-in-family,White,Male,1116.8463,97.79823,40.980354,United-States,<=50K
38.62116,Private,293142.25,HS-grad,10.160605,Never-married,Machine-op-inspct,Own-child,White,Male,1116.7399,97.75448,40.982063,United-States,<=50K
38.6223,Private,190637.61,Some-college,10.160605,Divorced,Other-service,Unmarried,White,Female,1119.02,97.75452,52.139492,United-States,<=50K
48.415516,Private,195618.17,Some-college,10.160584,Married-civ-spouse,Craft-repair,Husband,White,Male,2253.5728,97.77946,40.980465,United-States,<=50K
38.622894,Private,190655.97,HS-grad,10.160588,Married-civ-spouse,Craft-repair,Husband,White,Male,1116.9086,97.75457,49.482048,United-States,>50K
51.71731,Private,190635.45,HS-grad,10.160635,Married-civ-spouse,Sales,Husband,White,Male,1118.0245,97.759834,52.842697,United-States,<=50K
38.748028,Private,222827.23,Bachelors,12.712118,Married-civ-spouse,Prof-specialty,Husband,White,Male,1116.7792,97.944664,40.98081,United-States,<=50K
51.716908,Private,190826.2,Bachelors,12.556444,Widowed,Adm-clerical,Unmarried,Black,Female,1116.7465,97.75529,40.98024,United-States,<=50K
51.717304,Private,190643.31,Bachelors,12.703512,Divorced,Sales,Not-in-family,White,Male,1116.7411,97.75803,40.984943,United-States,<=50K
46.326237,Private,190635.45,Some-college,10.160598,Married-civ-spouse,Other-service,Unmarried,White,Female,1116.7407,97.75864,40.980095,United-States,<=50K
41.754303,Private,190635.45,HS-grad,10.160584,Never-married,Machine-op-inspct,Not-in-family,Black,Male,1116.7433,97.75459,40.980442,United-States,<=50K
38.962585,Private,190638.11,Bachelors,11.096532,Divorced,Other-service,Unmarried,White,Male,1118.893,98.246414,40.98021,United-States,<=50K
38.621197,Private,190636.78,Some-college,10.160716,Never-married,Craft-repair,Own-child,White,Male,1116.7498,97.75448,41.09474,United-States,<=50K
38.623676,Private,293142.38,Bachelors,12.712647,Married-civ-spouse,Prof-specialty,Wife,White,Male,1122.6962,99.29426,41.005955,United-States,>50K
38.625183,Private,190635.48,Some-college,10.160585,Married-civ-spouse,Other-service,Husband,White,Male,1116.7407,97.80888,40.980106,United-States,>50K
38.62112,Private,190635.4,Some-college,10.215477,Never-married,Adm-clerical,Own-child,White,Female,1116.7971,97.75448,40.98012,United-States,<=50K
38.622723,Private,195865.1,HS-grad,10.1605835,Married-civ-spouse,Craft-repair,Husband,Black,Male,1179.203,97.7556,40.98251,United-States,<=50K
41.260963,Private,190637.86,HS-grad,11.032785,Married-civ-spouse,Adm-clerical,Husband,White,Male,1117.8348,97.75562,52.842693,United-States,<=50K
38.621113,Private,190635.4,Bachelors,12.687067,Never-married,Sales,Own-child,White,Male,1116.741,97.75448,40.980095,United-States,<=50K
38.621128,Private,219637.17,Some-college,10.198862,Never-married,Adm-clerical,Own-child,White,Male,1116.7463,97.75448,40.980137,United-States,<=50K
38.623062,Private,197744.06,Bachelors,12.712647,Never-married,Prof-specialty,Own-child,White,Male,5499.787,97.754486,40.98313,United-States,<=50K
51.717304,Private,192890.81,HS-grad,10.1605835,Married-civ-spouse,Transport-moving,Husband,White,Male,1116.7769,97.75448,52.03858,United-States,<=50K
51.404144,Private,225888.53,HS-grad,10.160598,Separated,Other-service,Unmarried,Black,Female,1116.8088,97.77249,40.980118,United-States,<=50K
38.62119,Private,190637.27,HS-grad,10.160594,Never-married,Other-service,Not-in-family,White,Male,1116.7422,97.75448,52.795753,United-States,<=50K
38.62365,Private,190636.66,Some-college,10.161459,Divorced,Adm-clerical,Unmarried,White,Female,1121.972,97.75548,41.061516,United-States,<=50K
38.621212,Private,190699.19,Some-college,10.160597,Never-married,Other-service,Own-child,Black,Female,1116.7423,97.75448,40.9801,United-States,<=50K
38.621845,Private,190635.45,Some-college,10.160669,Never-married,Sales,Own-child,White,Male,1117.3939,97.75448,41.290462,United-States,<=50K
51.71731,Private,192014.12,Some-college,10.1611805,Married-civ-spouse,Exec-managerial,Husband,White,Male,1116.7393,97.755196,40.981045,United-States,<=50K
38.621113,Private,190635.48,Bachelors,12.712646,Never-married,Sales,Own-child,White,Male,1116.7393,97.75448,40.980152,United-States,<=50K
51.71731,Private,190651.77,Some-college,10.385576,Never-married,Other-service,Not-in-family,White,Male,1117.2318,97.754555,40.98012,United-States,<=50K
38.63154,Private,190726.56,HS-grad,10.160584,Married-civ-spouse,Transport-moving,Husband,White,Male,1116.7397,97.75448,52.02576,United-States,<=50K
51.7173,Private,293142.25,HS-grad,10.164449,Married-civ-spouse,Adm-clerical,Wife,White,Female,1116.9371,97.75448,40.980106,United-States,<=50K
38.62385,Private,242671.67,Assoc-voc,11.459688,Divorced,Adm-clerical,Unmarried,White,Female,1116.9973,97.76146,40.980774,United-States,<=50K
