age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Without-pay,1209313,Bachelors,8,Divorced,Handlers-cleaners,Not-in-family,Black,Female,64798,3377,96,Canada,>50K
83,Local-gov,1323177,11th,6,Married-spouse-absent,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,94690,4253,98,United-States,>50K
30,Private,249426,HS-grad,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,16986,737,69,Cambodia,<=50K
81,Private,1293994,Some-college,6,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,93892,3829,98,Mexico,>50K
86,Self-emp-inc,1261554,12th,3,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Female,91283,4065,92,United-States,>50K
32,Private,451303,Some-college,13,Never-married,Machine-op-inspct,Other-relative,White,Male,16406,818,96,Ecuador,>50K
89,Federal-gov,1487351,7th-8th,1,Married-AF-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,99938,4349,93,United-States,>50K
35,Private,430295,HS-grad,11,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,25264,823,73,Guatemala,>50K
85,State-gov,1351040,Doctorate,5,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,89212,3090,83,United-States,>50K
88,Federal-gov,1486393,Bachelors,3,Widowed,Transport-moving,Own-child,Other,Female,99130,4332,83,United-States,>50K
66,Private,338205,HS-grad,5,Married-civ-spouse,Exec-managerial,Own-child,White,Female,30274,1567,74,Scotland,>50K
89,State-gov,1490398,Doctorate,1,Widowed,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,99998,4355,97,United-States,>50K
52,Self-emp-inc,492536,Bachelors,10,Married-civ-spouse,Exec-managerial,Own-child,White,Female,52372,1060,94,Germany,>50K
72,Local-gov,1034811,12th,7,Never-married,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,79349,3472,96,United-States,<=50K
81,State-gov,1193924,11th,11,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Female,90243,3876,69,United-States,>50K
28,Private,226645,HS-grad,14,Never-married,Machine-op-inspct,Unmarried,White,Male,24860,732,41,Mexico,<=50K
72,Private,908798,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Female,35525,1879,25,Italy,>50K
29,Self-emp-inc,467537,Some-college,14,Never-married,Adm-clerical,Not-in-family,White,Male,37941,1284,4,India,<=50K
64,Private,727525,11th,4,Widowed,Tech-support,Husband,Black,Male,56117,1695,91,India,<=50K
33,Private,491533,HS-grad,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,37040,358,85,Scotland,<=50K
38,Private,414589,Bachelors,7,Never-married,Other-service,Husband,Asian-Pac-Islander,Male,39165,1007,23,Japan,<=50K
25,Private,219323,Some-college,14,Married-civ-spouse,Adm-clerical,Own-child,White,Male,25454,558,42,Scotland,<=50K
30,Private,550901,Bachelors,11,Never-married,Sales,Husband,White,Male,30319,2507,63,Trinadad&Tobago,<=50K
36,Private,463993,Bachelors,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,22254,983,26,Jamaica,<=50K
87,State-gov,1478651,Assoc-acdm,1,Married-AF-spouse,Armed-Forces,Husband,Other,Female,98980,4321,94,United-States,<=50K
36,Local-gov,418295,Some-college,12,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,15450,1031,38,Philippines,>50K
59,Without-pay,1097212,Assoc-acdm,10,Separated,Farming-fishing,Husband,Other,Female,55698,2471,90,United-States,<=50K
37,Private,332257,Some-college,8,Married-civ-spouse,Adm-clerical,Wife,White,Male,18156,1019,68,Puerto-Rico,<=50K
29,Self-emp-not-inc,586898,Assoc-voc,10,Divorced,Adm-clerical,Husband,Black,Male,46228,1858,80,Outlying-US(Guam-USVI-etc),<=50K
39,Private,494020,Assoc-acdm,9,Divorced,Prof-specialty,Husband,Black,Female,31879,1436,36,Haiti,<=50K
38,Self-emp-not-inc,355958,Some-college,4,Married-civ-spouse,Tech-support,Not-in-family,White,Female,24485,1347,51,Haiti,<=50K
89,Self-emp-inc,1476488,Bachelors,13,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,98603,4342,98,Hong,>50K
52,Self-emp-inc,394019,HS-grad,13,Married-civ-spouse,Adm-clerical,Own-child,White,Male,34596,376,39,Philippines,>50K
75,Local-gov,534525,HS-grad,14,Never-married,Machine-op-inspct,Own-child,White,Male,29982,1193,90,Japan,>50K
48,Self-emp-not-inc,1402024,Bachelors,3,Divorced,Sales,Husband,Black,Female,78914,3344,92,United-States,<=50K
24,Private,294027,Some-college,11,Never-married,Prof-specialty,Not-in-family,White,Male,29568,1553,16,Honduras,<=50K
36,Private,287859,Bachelors,12,Married-civ-spouse,Sales,Husband,Black,Male,14714,767,49,Italy,<=50K
59,Self-emp-inc,641420,Bachelors,8,Married-civ-spouse,Exec-managerial,Own-child,Other,Female,34588,1665,84,Thailand,>50K
43,State-gov,1072620,Doctorate,1,Married-civ-spouse,Farming-fishing,Own-child,Other,Female,60519,2592,85,Scotland,<=50K
