age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58,Self-emp-not-inc,912955,Assoc-acdm,10,Married-civ-spouse,Sales,Own-child,Black,Male,75066,4145,13,Hong,<=50K
62,Federal-gov,73226,HS-grad,11,Divorced,Prof-specialty,Husband,Other,Male,85858,1050,50,Trinadad&Tobago,>50K
87,Self-emp-inc,302926,7th-8th,9,Married-AF-spouse,Machine-op-inspct,Other-relative,Black,Male,34677,612,69,Nicaragua,<=50K
30,Self-emp-inc,495487,1st-4th,5,Married-AF-spouse,Adm-clerical,Husband,White,Female,40921,2325,75,Jamaica,>50K
83,State-gov,855424,1st-4th,15,Married-AF-spouse,Armed-Forces,Not-in-family,Black,Male,95540,1210,89,Greece,>50K
50,Without-pay,1149070,Assoc-acdm,14,Widowed,Handlers-cleaners,Wife,Black,Male,45990,1029,13,Columbia,<=50K
28,Self-emp-not-inc,855773,Masters,8,Widowed,Priv-house-serv,Own-child,White,Male,30666,2523,7,Italy,<=50K
38,Private,677988,Prof-school,11,Married-AF-spouse,Transport-moving,Unmarried,Black,Female,40534,1777,40,Poland,<=50K
42,Self-emp-inc,1207205,Assoc-acdm,1,Never-married,Armed-Forces,Unmarried,White,Male,80803,1188,26,Honduras,<=50K
59,Federal-gov,345475,Prof-school,11,Married-spouse-absent,Sales,Other-relative,White,Female,69359,2435,83,England,>50K
32,Private,537006,1st-4th,7,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,48602,2089,90,Poland,<=50K
36,Self-emp-not-inc,466708,1st-4th,13,Married-civ-spouse,Protective-serv,Wife,Amer-Indian-Eskimo,Male,71761,3159,81,Jamaica,>50K
35,Self-emp-not-inc,1303858,12th,14,Never-married,Transport-moving,Husband,Black,Male,33206,359,12,Mexico,<=50K
39,Self-emp-inc,1087847,Prof-school,9,Married-civ-spouse,Craft-repair,Other-relative,Other,Male,77910,2883,92,Canada,>50K
43,Self-emp-not-inc,1471406,HS-grad,14,Widowed,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,4934,2149,40,China,>50K
37,Private,463869,Assoc-voc,3,Married-civ-spouse,Other-service,Unmarried,Other,Female,1998,2007,32,Philippines,<=50K
28,State-gov,1382805,Bachelors,8,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Female,38242,2939,41,France,>50K
61,Self-emp-not-inc,602965,Prof-school,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,32543,1864,61,Greece,>50K
23,Self-emp-inc,698204,Masters,7,Widowed,Transport-moving,Husband,White,Male,62721,302,51,Scotland,<=50K
