age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29,Federal-gov,802718,Some-college,9,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Male,74081,1737,89,Columbia,>50K
81,State-gov,308952,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,Other,Female,92419,3366,95,Cambodia,>50K
85,Private,39796,Doctorate,1,Separated,Prof-specialty,Other-relative,Black,Female,98667,2625,26,Germany,<=50K
83,Federal-gov,1142550,Preschool,15,Married-civ-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,77670,3327,76,United-States,>50K
40,Self-emp-inc,48533,Some-college,8,Widowed,Adm-clerical,Own-child,Black,Male,74576,3010,67,Dominican-Republic,<=50K
23,Self-emp-not-inc,566962,9th,4,Married-civ-spouse,Adm-clerical,Husband,White,Female,88159,3735,93,Vietnam,>50K
22,Private,1408082,HS-grad,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,11409,2848,8,Hong,>50K
41,Local-gov,1230199,Bachelors,10,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,77362,4123,15,Canada,<=50K
88,Federal-gov,617826,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,99578,3946,97,United-States,>50K
35,Self-emp-inc,459276,Masters,5,Married-civ-spouse,Prof-specialty,Other-relative,Other,Male,25523,3507,60,Guatemala,<=50K
82,Local-gov,1152134,HS-grad,7,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,99242,4235,88,Trinadad&Tobago,>50K
77,State-gov,429046,7th-8th,10,Divorced,Sales,Not-in-family,Other,Male,81412,2319,13,Ireland,<=50K
25,State-gov,1437570,9th,12,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Female,62532,4018,83,Yugoslavia,>50K
37,Self-emp-inc,1084029,Assoc-voc,1,Separated,Protective-serv,Not-in-family,Black,Male,95300,1273,61,United-States,>50K
74,Local-gov,1175526,Assoc-voc,14,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,86106,4182,13,Cambodia,<=50K
67,Local-gov,928284,Assoc-voc,13,Separated,Priv-house-serv,Other-relative,Black,Male,31805,263,76,United-States,>50K
88,State-gov,880912,Preschool,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,99328,3930,96,United-States,>50K
52,Self-emp-not-inc,904955,1st-4th,12,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,14320,1369,53,Laos,<=50K
64,Self-emp-inc,907130,Bachelors,15,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,28104,3066,21,Philippines,<=50K
37,Federal-gov,1418973,5th-6th,3,Separated,Protective-serv,Husband,Amer-Indian-Eskimo,Female,97209,2323,94,China,>50K
63,Private,955854,Some-college,5,Never-married,Sales,Unmarried,White,Male,65946,2868,24,Greece,>50K
89,Local-gov,1488995,Bachelors,15,Married-civ-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,72435,3919,53,El-Salvador,>50K
73,Without-pay,667676,Bachelors,14,Never-married,Farming-fishing,Own-child,Other,Male,20488,2237,79,Mexico,>50K
78,Local-gov,1082081,1st-4th,1,Married-civ-spouse,Armed-Forces,Husband,Other,Male,86838,4339,92,Cambodia,>50K
25,Self-emp-not-inc,742298,10th,2,Never-married,Priv-house-serv,Not-in-family,White,Male,38417,3989,94,Scotland,<=50K
19,Private,867238,Bachelors,11,Married-civ-spouse,Farming-fishing,Wife,Asian-Pac-Islander,Male,5186,2708,50,Cambodia,>50K
85,Private,1473842,Doctorate,2,Never-married,Exec-managerial,Husband,Black,Female,29053,747,32,France,<=50K
54,Local-gov,330730,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Own-child,Black,Male,52723,1432,16,England,<=50K
52,Private,477256,Bachelors,6,Married-spouse-absent,Machine-op-inspct,Own-child,White,Male,47815,2549,17,Italy,>50K
88,Private,506818,Bachelors,12,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,25958,1490,7,Cuba,<=50K
23,Private,840982,10th,14,Divorced,Sales,Wife,Amer-Indian-Eskimo,Male,99978,4339,97,United-States,>50K
45,Self-emp-inc,812077,Some-college,2,Separated,Priv-house-serv,Own-child,White,Male,38951,3744,39,Hong,>50K
78,Self-emp-inc,1285815,Masters,3,Never-married,Transport-moving,Unmarried,White,Male,50561,2804,53,Columbia,<=50K
89,Without-pay,1209016,Bachelors,13,Married-civ-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Female,86909,1729,3,El-Salvador,>50K
88,Self-emp-inc,122082,HS-grad,14,Divorced,Farming-fishing,Own-child,Asian-Pac-Islander,Male,51686,4119,39,Trinadad&Tobago,>50K
21,Federal-gov,1377084,Prof-school,4,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,80272,2560,9,Peru,>50K
72,Self-emp-inc,653282,Doctorate,12,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,89420,1138,48,Italy,<=50K
29,Private,1455252,Prof-school,10,Never-married,Transport-moving,Unmarried,White,Male,10089,582,30,Peru,<=50K
77,Local-gov,1254530,Bachelors,14,Married-civ-spouse,Exec-managerial,Other-relative,Black,Female,50571,3007,92,India,<=50K
24,Private,1252168,1st-4th,13,Widowed,Adm-clerical,Husband,Black,Male,82925,1587,41,Ireland,>50K
37,Local-gov,1213376,Preschool,5,Married-civ-spouse,Other-service,Unmarried,White,Male,21847,3486,94,Italy,<=50K
76,Local-gov,997626,Assoc-acdm,15,Married-spouse-absent,Protective-serv,Other-relative,Black,Male,38200,313,61,Canada,<=50K
79,Private,324163,Doctorate,13,Never-married,Priv-house-serv,Own-child,Other,Male,44244,3355,64,Jamaica,<=50K
27,State-gov,297172,Some-college,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,88576,793,96,United-States,<=50K
49,Private,266702,10th,7,Widowed,Prof-specialty,Wife,White,Male,16240,2458,28,Outlying-US(Guam-USVI-etc),<=50K
45,Self-emp-inc,1355756,12th,9,Married-civ-spouse,Priv-house-serv,Own-child,White,Female,34576,1614,15,Canada,>50K
39,Self-emp-inc,1014481,11th,5,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,59661,3073,35,South,>50K
19,Self-emp-not-inc,962535,Masters,9,Widowed,Protective-serv,Husband,White,Female,10912,1373,20,Cuba,>50K
43,Self-emp-inc,408438,Some-college,10,Separated,Armed-Forces,Not-in-family,Black,Male,64802,3985,43,Germany,>50K
58,Self-emp-not-inc,1114696,Prof-school,6,Married-civ-spouse,Craft-repair,Other-relative,Other,Female,27755,2602,88,China,>50K
73,Private,65299,Bachelors,7,Married-AF-spouse,Adm-clerical,Not-in-family,Other,Male,12683,628,3,Cuba,<=50K
22,Federal-gov,904110,Assoc-voc,9,Never-married,Adm-clerical,Own-child,White,Male,10198,2096,80,Cambodia,<=50K
43,Self-emp-not-inc,373456,1st-4th,12,Widowed,Adm-clerical,Not-in-family,Black,Female,73894,4104,42,United-States,>50K
87,Without-pay,1488882,10th,14,Never-married,Sales,Own-child,Black,Female,80436,4292,48,France,>50K
77,Private,577760,10th,7,Married-civ-spouse,Transport-moving,Unmarried,White,Male,5027,2830,61,Ecuador,<=50K
19,Self-emp-inc,17466,12th,1,Never-married,Prof-specialty,Husband,White,Female,72536,1198,96,Italy,<=50K
58,Federal-gov,1444145,HS-grad,6,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Female,99286,4007,49,United-States,>50K
86,Federal-gov,1271842,Preschool,4,Married-AF-spouse,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,67133,2939,53,South,>50K
47,Federal-gov,542457,HS-grad,2,Never-married,Farming-fishing,Husband,Black,Female,59201,871,13,Hungary,>50K
19,Private,46503,7th-8th,5,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,7130,311,63,Portugal,<=50K
72,Federal-gov,1162073,Bachelors,9,Married-civ-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Male,37220,2273,96,Trinadad&Tobago,>50K
37,Private,705514,Some-college,11,Widowed,Farming-fishing,Husband,Black,Male,69426,792,42,El-Salvador,>50K
20,Self-emp-inc,1104168,Preschool,5,Married-civ-spouse,Transport-moving,Wife,White,Male,39722,2850,50,Jamaica,>50K
86,State-gov,977884,Bachelors,11,Married-AF-spouse,Armed-Forces,Other-relative,Black,Female,95168,4036,90,Trinadad&Tobago,>50K
89,Private,656798,11th,9,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Female,41720,1189,29,Hungary,>50K
72,Self-emp-inc,631101,12th,7,Married-AF-spouse,Other-service,Husband,White,Female,47335,906,94,Thailand,>50K
19,Private,324481,Doctorate,5,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Female,51729,4309,71,United-States,>50K
27,Private,487056,HS-grad,2,Separated,Tech-support,Husband,White,Female,44329,1356,92,Jamaica,>50K
88,State-gov,446468,Assoc-voc,9,Married-civ-spouse,Sales,Own-child,Other,Male,95775,4052,21,Poland,>50K
31,Self-emp-not-inc,68827,7th-8th,2,Never-married,Handlers-cleaners,Husband,White,Male,56800,3383,41,Puerto-Rico,<=50K
77,Local-gov,1342511,Masters,5,Married-civ-spouse,Sales,Unmarried,Asian-Pac-Islander,Male,9611,2936,2,Columbia,>50K
17,Federal-gov,679229,10th,1,Never-married,Craft-repair,Other-relative,White,Female,58290,2581,96,Outlying-US(Guam-USVI-etc),<=50K
57,Private,1370937,9th,15,Widowed,Exec-managerial,Husband,Other,Female,82859,4175,82,El-Salvador,>50K
28,Private,93308,Assoc-voc,3,Widowed,Other-service,Own-child,White,Male,68374,3732,3,Ecuador,<=50K
20,Self-emp-inc,1386754,Masters,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,34232,207,29,Dominican-Republic,<=50K
24,State-gov,467760,Bachelors,6,Widowed,Farming-fishing,Not-in-family,Black,Female,14417,1431,16,Ireland,<=50K
65,Private,690885,Bachelors,5,Married-spouse-absent,Transport-moving,Own-child,White,Male,14633,56,41,Ecuador,<=50K
77,Private,29227,11th,14,Separated,Sales,Not-in-family,Other,Female,21586,995,85,Scotland,<=50K
54,Private,69453,Preschool,14,Separated,Exec-managerial,Wife,Other,Male,97639,4313,18,United-States,>50K
78,Without-pay,846550,HS-grad,9,Divorced,Craft-repair,Own-child,Other,Female,99354,4235,56,Trinadad&Tobago,>50K
35,Private,1182120,Some-college,5,Widowed,Adm-clerical,Husband,White,Female,22851,774,12,Thailand,<=50K
25,State-gov,885153,Some-college,8,Married-spouse-absent,Sales,Other-relative,Amer-Indian-Eskimo,Female,98226,3162,94,South,>50K
74,Self-emp-not-inc,1165554,Prof-school,13,Never-married,Sales,Unmarried,Black,Female,10610,121,82,Greece,>50K
39,Local-gov,780225,Prof-school,4,Never-married,Craft-repair,Own-child,White,Male,36574,3084,82,Philippines,<=50K
61,Private,1105828,9th,14,Married-civ-spouse,Armed-Forces,Other-relative,Asian-Pac-Islander,Female,15742,391,81,Peru,>50K
66,Private,1435124,12th,12,Never-married,Farming-fishing,Husband,White,Male,83472,4286,24,China,>50K
18,Self-emp-inc,1351283,Prof-school,6,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,38663,2212,14,Cambodia,>50K
86,State-gov,211562,Doctorate,7,Married-spouse-absent,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Female,98910,4259,95,Iran,>50K
23,Private,127797,1st-4th,14,Married-AF-spouse,Protective-serv,Wife,Other,Male,77394,2102,71,Germany,<=50K
31,Private,873628,1st-4th,8,Widowed,Adm-clerical,Not-in-family,Other,Female,93866,1477,21,El-Salvador,<=50K
20,Federal-gov,1378514,Preschool,15,Divorced,Sales,Own-child,White,Female,46462,4047,31,Vietnam,<=50K
77,State-gov,1216905,5th-6th,14,Married-spouse-absent,Armed-Forces,Husband,Black,Female,85514,2788,40,Iran,>50K
86,Private,820901,Prof-school,5,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,19706,685,55,Taiwan,<=50K
47,Private,1111638,Some-college,7,Married-spouse-absent,Transport-moving,Husband,White,Female,63126,82,19,Haiti,<=50K
74,Local-gov,1014368,HS-grad,8,Never-married,Adm-clerical,Husband,White,Male,73705,1675,77,Puerto-Rico,<=50K
