age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
51,Self-emp-not-inc,572604,HS-grad,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,95854,3900,2,Greece,>50K
29,Local-gov,1053154,Preschool,5,Widowed,Other-service,Wife,Black,Female,83314,3500,40,Scotland,<=50K
72,Self-emp-not-inc,57015,Some-college,12,Married-spouse-absent,Tech-support,Unmarried,Black,Male,4250,2552,25,Laos,>50K
31,State-gov,457348,Assoc-voc,6,Never-married,Handlers-cleaners,Husband,White,Male,15482,3051,76,Laos,>50K
38,Private,710533,Some-college,7,Married-civ-spouse,Tech-support,Own-child,Other,Male,27105,4277,93,Philippines,>50K
27,Self-emp-not-inc,1284577,Masters,6,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Female,17411,534,56,Hong,>50K
37,Private,1026198,12th,11,Divorced,Adm-clerical,Unmarried,White,Female,79628,1097,82,Italy,>50K
89,Private,1110616,HS-grad,2,Married-spouse-absent,Prof-specialty,Own-child,Black,Male,34011,3923,94,United-States,<=50K
54,Self-emp-inc,1139608,Some-college,4,Never-married,Adm-clerical,Not-in-family,Black,Female,49531,2346,62,China,<=50K
26,Private,634607,Bachelors,5,Married-civ-spouse,Priv-house-serv,Husband,White,Female,96579,3433,55,Ireland,>50K
70,Without-pay,201880,Assoc-acdm,2,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,88719,1362,15,Greece,>50K
58,Private,285456,9th,12,Married-spouse-absent,Prof-specialty,Unmarried,Other,Female,93661,958,98,Poland,<=50K
89,Private,1016077,12th,3,Married-civ-spouse,Tech-support,Husband,White,Male,99217,1677,72,Canada,>50K
68,Private,1467810,Masters,7,Divorced,Other-service,Husband,White,Female,54259,597,86,Canada,>50K
75,Private,654320,5th-6th,14,Married-civ-spouse,Protective-serv,Husband,Other,Male,50481,3439,27,Puerto-Rico,>50K
76,Local-gov,583603,5th-6th,14,Separated,Tech-support,Husband,White,Male,43988,1973,16,Ecuador,<=50K
60,Private,673796,5th-6th,3,Divorced,Exec-managerial,Other-relative,White,Male,33475,202,92,Italy,<=50K
63,Self-emp-not-inc,1335861,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,38747,4348,12,Jamaica,<=50K
89,Private,1166470,Prof-school,7,Separated,Adm-clerical,Wife,White,Female,38225,3530,41,United-States,>50K
78,Private,1273696,9th,13,Married-AF-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,89223,4113,35,England,<=50K
47,Private,240553,7th-8th,1,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,52808,2689,80,Iran,<=50K
51,Private,1226412,Doctorate,11,Widowed,Priv-house-serv,Other-relative,White,Female,71649,4108,95,United-States,<=50K
41,State-gov,504816,12th,13,Divorced,Protective-serv,Not-in-family,Black,Female,67827,4130,52,England,>50K
86,Local-gov,449064,HS-grad,12,Widowed,Prof-specialty,Other-relative,White,Male,98666,3397,81,Thailand,>50K
41,Local-gov,138206,Assoc-voc,7,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,37950,162,92,Philippines,>50K
78,Private,464869,Assoc-acdm,2,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,86168,2602,90,Taiwan,<=50K
24,Local-gov,1225235,Bachelors,14,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,83335,1260,7,Ecuador,>50K
28,Federal-gov,984523,11th,8,Divorced,Adm-clerical,Unmarried,White,Female,50197,255,92,Honduras,>50K
58,Self-emp-not-inc,519503,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Female,43717,2567,1,Germany,>50K
56,State-gov,1023007,Bachelors,2,Married-civ-spouse,Craft-repair,Husband,White,Female,79895,2267,9,Haiti,>50K
63,Private,967818,Masters,3,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,64557,4309,94,Philippines,>50K
31,Self-emp-not-inc,760182,HS-grad,15,Divorced,Adm-clerical,Not-in-family,White,Male,20477,430,1,Honduras,>50K
17,State-gov,763644,Masters,14,Divorced,Handlers-cleaners,Wife,White,Female,95073,3947,39,Ecuador,>50K
40,State-gov,155816,HS-grad,15,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,93171,2300,12,Ireland,>50K
57,Self-emp-not-inc,1127226,Masters,11,Separated,Handlers-cleaners,Husband,White,Male,57101,2940,37,Poland,>50K
37,Self-emp-not-inc,1457990,12th,2,Divorced,Sales,Not-in-family,White,Female,90688,4254,14,Iran,<=50K
28,Without-pay,56818,9th,15,Married-civ-spouse,Sales,Not-in-family,White,Female,36836,3624,8,Cuba,>50K
62,State-gov,1348589,Bachelors,8,Never-married,Protective-serv,Not-in-family,Black,Female,28728,1493,87,El-Salvador,>50K
74,Without-pay,675895,Some-college,2,Married-civ-spouse,Protective-serv,Wife,Black,Male,33505,1966,45,Cambodia,<=50K
34,State-gov,1221457,11th,13,Never-married,Farming-fishing,Husband,Black,Male,54417,540,10,Vietnam,>50K
