age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
52,Self-emp-inc,654198,1st-4th,6,Married-AF-spouse,Protective-serv,Husband,Black,Male,53001,1192,46,Jamaica,<=50K
60,Self-emp-inc,952645,Prof-school,9,Separated,Prof-specialty,Wife,Black,Male,44671,2264,45,Jamaica,>50K
68,Local-gov,897762,Prof-school,11,Never-married,Protective-serv,Other-relative,Black,Male,45002,1177,39,Jamaica,<=50K
51,Self-emp-inc,635231,Prof-school,9,Married-AF-spouse,Craft-repair,Wife,Black,Male,54874,1222,38,Jamaica,<=50K
61,Self-emp-inc,821356,Prof-school,12,Widowed,Transport-moving,Own-child,Black,Male,47808,2171,52,Germany,<=50K
57,Self-emp-inc,866183,Prof-school,9,Widowed,Priv-house-serv,Not-in-family,Black,Male,47222,1570,33,Canada,<=50K
59,Federal-gov,938930,Prof-school,12,Married-AF-spouse,Transport-moving,Husband,Black,Male,50421,782,35,Peru,<=50K
72,Self-emp-inc,960519,Assoc-voc,12,Never-married,Craft-repair,Other-relative,Black,Male,30705,1045,49,Jamaica,<=50K
55,Self-emp-inc,1031199,Prof-school,7,Married-AF-spouse,Transport-moving,Not-in-family,Black,Male,63432,1550,39,Jamaica,>50K
58,Local-gov,888516,1st-4th,11,Separated,Transport-moving,Wife,Black,Male,58467,1266,39,Jamaica,<=50K
59,Local-gov,1064966,Prof-school,13,Separated,Protective-serv,Husband,Black,Male,43431,1437,29,Puerto-Rico,>50K
53,Local-gov,904359,Prof-school,10,Never-married,Protective-serv,Other-relative,Black,Male,53559,1279,42,Jamaica,>50K
69,Self-emp-inc,1185904,Prof-school,11,Married-AF-spouse,Transport-moving,Husband,Black,Male,51523,1078,39,Germany,<=50K
58,Local-gov,752337,Prof-school,11,Separated,Protective-serv,Husband,Black,Male,46540,1310,44,England,>50K
62,Local-gov,502714,Prof-school,10,Widowed,Prof-specialty,Husband,Black,Male,60335,1477,25,Germany,<=50K
60,Self-emp-inc,901616,Prof-school,9,Married-AF-spouse,Prof-specialty,Husband,Black,Male,42807,2895,61,Germany,<=50K
63,Local-gov,1055228,Prof-school,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,37366,1090,50,Jamaica,<=50K
64,Local-gov,838562,Prof-school,13,Widowed,Protective-serv,Own-child,Black,Male,19205,1306,46,Jamaica,<=50K
65,Self-emp-inc,902737,Assoc-voc,9,Widowed,Protective-serv,Other-relative,Black,Male,39552,1348,31,Peru,<=50K
48,Local-gov,1023531,1st-4th,9,Married-AF-spouse,Transport-moving,Wife,Black,Male,57474,1620,28,Jamaica,>50K
61,Self-emp-inc,699877,Prof-school,9,Widowed,Priv-house-serv,Other-relative,Black,Male,46715,1411,35,Jamaica,<=50K
51,Self-emp-inc,934183,Prof-school,7,Married-AF-spouse,Machine-op-inspct,Own-child,Black,Male,64675,2476,25,Germany,>50K
48,Self-emp-not-inc,886373,Prof-school,10,Married-civ-spouse,Protective-serv,Wife,Black,Male,42191,794,37,Jamaica,<=50K
53,Local-gov,673935,Prof-school,8,Married-AF-spouse,Craft-repair,Husband,Black,Male,52793,1120,44,Jamaica,<=50K
69,Self-emp-inc,1009633,Prof-school,7,Married-spouse-absent,Priv-house-serv,Own-child,Black,Male,71361,1806,66,Germany,<=50K
55,Federal-gov,954532,Prof-school,12,Married-AF-spouse,Craft-repair,Own-child,Black,Male,46962,1314,25,Dominican-Republic,>50K
33,Federal-gov,674184,Prof-school,10,Married-spouse-absent,Priv-house-serv,Other-relative,Black,Male,63635,1322,58,Germany,<=50K
56,Self-emp-inc,1094700,Prof-school,8,Married-civ-spouse,Protective-serv,Other-relative,Black,Male,54660,1357,44,China,<=50K
66,Self-emp-inc,716332,Prof-school,8,Widowed,Transport-moving,Wife,Black,Male,55216,1361,41,Taiwan,>50K
60,Local-gov,877099,Prof-school,9,Married-AF-spouse,Priv-house-serv,Wife,Black,Male,50991,1396,53,Jamaica,<=50K
56,Local-gov,803084,Prof-school,8,Widowed,Protective-serv,Other-relative,Black,Male,60979,976,31,Jamaica,>50K
69,Self-emp-inc,679893,Prof-school,8,Married-civ-spouse,Protective-serv,Husband,Black,Male,36819,1703,36,Germany,<=50K
65,Local-gov,913533,Prof-school,9,Never-married,Craft-repair,Other-relative,Black,Male,54999,1977,45,Jamaica,<=50K
62,Self-emp-inc,769648,Prof-school,8,Married-AF-spouse,Protective-serv,Not-in-family,Black,Male,69996,1107,46,Jamaica,<=50K
63,Local-gov,834001,Prof-school,14,Widowed,Transport-moving,Wife,Black,Male,39415,1038,53,Jamaica,<=50K
50,Self-emp-not-inc,742979,Prof-school,10,Married-AF-spouse,Craft-repair,Other-relative,Black,Male,31895,1290,49,Peru,<=50K
59,Self-emp-inc,1122305,1st-4th,12,Separated,Transport-moving,Own-child,Black,Male,65451,1201,34,Jamaica,>50K
59,Self-emp-inc,606430,1st-4th,12,Never-married,Prof-specialty,Own-child,Black,Male,41909,1201,32,Germany,<=50K
76,Self-emp-inc,869091,1st-4th,14,Never-married,Farming-fishing,Husband,Black,Male,28596,1063,46,Laos,<=50K
66,Self-emp-inc,919590,Prof-school,8,Widowed,Transport-moving,Not-in-family,Black,Male,43369,1461,66,Jamaica,<=50K
55,Self-emp-inc,730871,Prof-school,9,Widowed,Protective-serv,Husband,Black,Male,40058,1213,36,Jamaica,>50K
66,Self-emp-inc,716648,Prof-school,9,Widowed,Prof-specialty,Not-in-family,Black,Male,38529,1351,36,Poland,<=50K
59,Local-gov,499355,Prof-school,8,Never-married,Handlers-cleaners,Not-in-family,Black,Male,60691,975,31,Jamaica,<=50K
52,Self-emp-inc,1050571,1st-4th,9,Widowed,Transport-moving,Own-child,Black,Male,46225,952,46,Jamaica,<=50K
45,Self-emp-inc,994090,11th,7,Never-married,Transport-moving,Husband,Black,Male,50563,1463,38,Puerto-Rico,>50K
44,Self-emp-inc,540821,Assoc-voc,10,Never-married,Prof-specialty,Other-relative,Black,Male,36926,1801,54,Peru,<=50K
58,Self-emp-inc,847267,1st-4th,11,Married-civ-spouse,Protective-serv,Wife,Black,Male,53306,1628,59,Jamaica,<=50K
47,Self-emp-inc,550738,Prof-school,12,Married-civ-spouse,Priv-house-serv,Wife,Black,Male,45997,2149,71,Jamaica,<=50K
60,Self-emp-inc,923198,1st-4th,11,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,47135,1458,52,Taiwan,<=50K
46,Self-emp-inc,882776,1st-4th,9,Never-married,Craft-repair,Husband,Black,Male,50370,1851,64,Jamaica,<=50K
62,Self-emp-inc,726392,Prof-school,9,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,64856,1811,32,Peru,<=50K
62,Self-emp-inc,687139,1st-4th,9,Widowed,Protective-serv,Own-child,Black,Male,40090,1374,46,Scotland,<=50K
58,Self-emp-inc,945326,Prof-school,9,Widowed,Craft-repair,Own-child,Black,Male,44231,1782,46,Dominican-Republic,<=50K
51,Without-pay,447884,Assoc-acdm,11,Married-civ-spouse,Handlers-cleaners,Own-child,Black,Male,52088,2044,28,Jamaica,<=50K
59,Local-gov,916716,Prof-school,11,Married-AF-spouse,Transport-moving,Husband,Black,Male,24520,1760,24,Germany,<=50K
55,Self-emp-inc,876955,Prof-school,11,Married-AF-spouse,Transport-moving,Husband,Black,Male,53166,1194,43,Scotland,<=50K
42,Federal-gov,708753,Preschool,10,Married-AF-spouse,Protective-serv,Husband,Black,Male,49597,1987,25,Columbia,<=50K
57,Self-emp-not-inc,846580,1st-4th,11,Widowed,Craft-repair,Other-relative,Black,Male,45483,928,44,Germany,<=50K
61,Local-gov,1006313,Prof-school,10,Married-civ-spouse,Craft-repair,Husband,Black,Female,39041,745,47,Jamaica,<=50K
72,Self-emp-inc,1227553,1st-4th,14,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,24101,860,49,Germany,<=50K
51,Self-emp-inc,780945,1st-4th,10,Widowed,Protective-serv,Own-child,Black,Male,62974,2514,52,Germany,>50K
48,Self-emp-inc,971056,Prof-school,9,Married-civ-spouse,Priv-house-serv,Own-child,Black,Male,47442,1312,51,Jamaica,<=50K
57,Local-gov,1069882,1st-4th,12,Married-AF-spouse,Protective-serv,Husband,Black,Male,63943,872,50,Jamaica,<=50K
55,Local-gov,703634,1st-4th,12,Widowed,Transport-moving,Own-child,Black,Male,62358,1471,37,Poland,<=50K
68,Self-emp-inc,1054390,Prof-school,10,Never-married,Protective-serv,Wife,Black,Male,49814,909,65,Jamaica,<=50K
59,Self-emp-inc,834353,Prof-school,11,Married-AF-spouse,Craft-repair,Wife,Black,Male,44632,926,63,Jamaica,<=50K
58,Federal-gov,1109174,Prof-school,8,Married-civ-spouse,Protective-serv,Not-in-family,Black,Male,46590,1686,50,Jamaica,<=50K
60,Self-emp-inc,734963,Prof-school,8,Married-civ-spouse,Protective-serv,Not-in-family,Black,Male,57658,1649,50,Jamaica,<=50K
61,Self-emp-inc,750304,Prof-school,12,Widowed,Protective-serv,Husband,Black,Male,26063,1057,48,Canada,<=50K
43,Federal-gov,653187,Assoc-voc,10,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,64531,2364,63,United-States,>50K
47,Local-gov,738848,1st-4th,11,Widowed,Protective-serv,Wife,Black,Male,69332,1504,27,Germany,>50K
51,Self-emp-inc,833536,Prof-school,7,Widowed,Craft-repair,Other-relative,Black,Male,41676,1354,52,Germany,<=50K
60,Self-emp-inc,651691,Prof-school,10,Married-AF-spouse,Protective-serv,Own-child,Black,Male,59265,1520,33,Dominican-Republic,<=50K
55,Local-gov,969364,Prof-school,13,Widowed,Protective-serv,Wife,Black,Male,49886,793,54,Jamaica,<=50K
50,Self-emp-inc,1096686,Prof-school,10,Widowed,Handlers-cleaners,Not-in-family,Black,Male,42968,1996,52,Germany,<=50K
76,Self-emp-inc,858449,Assoc-voc,9,Separated,Protective-serv,Unmarried,Black,Male,40895,1955,40,Poland,<=50K
58,Local-gov,1102095,Prof-school,7,Widowed,Protective-serv,Not-in-family,Black,Male,39273,798,53,Jamaica,<=50K
66,Federal-gov,834405,Prof-school,11,Married-AF-spouse,Protective-serv,Wife,Black,Male,62321,829,50,Jamaica,<=50K
73,Self-emp-inc,731832,Assoc-voc,10,Widowed,Transport-moving,Unmarried,Black,Male,31608,1483,64,Philippines,<=50K
62,Self-emp-inc,943529,Assoc-voc,10,Widowed,Adm-clerical,Own-child,Black,Male,55039,1320,35,Jamaica,<=50K
58,Self-emp-not-inc,900152,1st-4th,12,Widowed,Transport-moving,Not-in-family,Black,Female,59269,1761,22,Germany,<=50K
52,Self-emp-inc,547980,Prof-school,9,Married-AF-spouse,Handlers-cleaners,Other-relative,Black,Male,56704,1375,58,Jamaica,<=50K
58,Federal-gov,791683,1st-4th,12,Widowed,Prof-specialty,Husband,Black,Female,47328,627,36,Jamaica,<=50K
65,Self-emp-inc,1002270,Prof-school,12,Widowed,Protective-serv,Husband,Black,Male,54345,1028,62,Jamaica,<=50K
58,Local-gov,1006740,Prof-school,10,Widowed,Transport-moving,Wife,Black,Male,49140,1185,50,Canada,<=50K
58,Local-gov,908607,Prof-school,10,Married-spouse-absent,Protective-serv,Husband,Black,Male,68562,819,50,Jamaica,<=50K
51,Self-emp-inc,866018,Prof-school,9,Widowed,Craft-repair,Other-relative,Black,Male,63871,1370,44,Jamaica,>50K
55,Self-emp-inc,1054831,Prof-school,11,Married-AF-spouse,Transport-moving,Other-relative,Black,Male,41575,1154,52,Thailand,<=50K
58,Self-emp-inc,1199134,Prof-school,11,Married-AF-spouse,Transport-moving,Husband,Black,Male,51369,1562,32,Greece,>50K
