age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,156616,Bachelors,11,Divorced,Craft-repair,Not-in-family,White,Female,5487,261,52,United-States,<=50K
59,Private,105106,Some-college,8,Married-civ-spouse,Sales,Husband,White,Male,4305,351,49,United-States,>50K
29,Private,170605,HS-grad,8,Never-married,Adm-clerical,Other-relative,Black,Female,4696,72,38,Jamaica,<=50K
58,Private,285290,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,4405,138,49,United-States,<=50K
26,Private,117603,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,5202,47,42,Jamaica,<=50K
47,Private,83007,Some-college,7,Married-civ-spouse,Sales,Husband,White,Male,3752,854,41,United-States,<=50K
52,Private,211018,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5553,3003,45,United-States,<=50K
58,Private,172920,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,4592,454,50,United-States,>50K
48,Local-gov,216445,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,4537,76,52,United-States,<=50K
56,State-gov,302644,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4371,198,53,United-States,>50K
52,Private,130020,9th,7,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,4505,22,32,Poland,<=50K
48,Private,221063,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Female,4934,25,29,Poland,<=50K
19,Private,184730,HS-grad,9,Never-married,Other-service,Own-child,White,Male,4066,51,27,United-States,<=50K
57,State-gov,336051,Some-college,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4375,279,52,United-States,>50K
31,Private,170837,Some-college,9,Married-civ-spouse,Other-service,Husband,White,Male,4442,162,46,United-States,>50K
25,Private,302810,Assoc-voc,9,Never-married,Adm-clerical,Other-relative,White,Female,4537,113,29,Mexico,<=50K
58,Private,202916,Some-college,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4461,516,50,United-States,>50K
51,Private,201615,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5667,3003,46,United-States,<=50K
49,Private,222892,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4925,2730,48,United-States,<=50K
33,Private,82806,HS-grad,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3760,786,39,United-States,<=50K
54,Private,245680,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,4463,414,49,United-States,<=50K
56,Private,130026,11th,8,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,4574,21,33,Poland,<=50K
40,Private,81748,HS-grad,7,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,4099,189,38,United-States,<=50K
32,Self-emp-inc,57414,Masters,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7948,23,37,United-States,<=50K
56,Private,162282,Masters,10,Married-civ-spouse,Other-service,Husband,White,Male,6206,3004,44,United-States,<=50K
22,Private,133696,HS-grad,9,Never-married,Other-service,Own-child,White,Male,4119,288,39,United-States,<=50K
32,Private,154525,Bachelors,11,Divorced,Exec-managerial,Not-in-family,White,Female,6153,124,43,United-States,<=50K
32,Private,345524,9th,9,Never-married,Adm-clerical,Other-relative,White,Female,4885,82,25,Mexico,<=50K
20,Private,147421,Assoc-voc,9,Never-married,Transport-moving,Own-child,White,Male,4067,39,25,United-States,<=50K
45,Private,88396,Some-college,8,Married-civ-spouse,Sales,Husband,White,Male,3872,1127,41,United-States,>50K
40,Self-emp-inc,117164,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7114,75,35,United-States,>50K
32,Private,162342,Some-college,11,Divorced,Priv-house-serv,Not-in-family,White,Female,5205,234,53,United-States,<=50K
47,Local-gov,200024,HS-grad,9,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,4827,127,51,United-States,<=50K
35,Self-emp-inc,187731,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,6349,142,40,United-States,>50K
34,Private,185847,HS-grad,10,Widowed,Craft-repair,Not-in-family,White,Female,5077,254,53,United-States,<=50K
31,Private,106272,HS-grad,8,Never-married,Other-service,Own-child,White,Male,3921,1273,42,United-States,<=50K
69,Self-emp-not-inc,19215,Preschool,15,Married-civ-spouse,Exec-managerial,Husband,Other,Male,7997,12,29,United-States,>50K
49,Private,273748,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4670,87,48,United-States,<=50K
28,Private,167105,Bachelors,11,Divorced,Exec-managerial,Not-in-family,White,Female,5663,201,52,United-States,<=50K
33,Self-emp-inc,190914,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5876,134,43,United-States,>50K
49,Private,198018,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5566,3003,47,United-States,<=50K
23,Private,85098,Assoc-acdm,10,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,5745,26,41,United-States,<=50K
37,Self-emp-inc,154679,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7201,51,39,United-States,>50K
37,Private,145388,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Female,5012,319,54,United-States,<=50K
55,Private,121548,Some-college,9,Divorced,Sales,Not-in-family,White,Male,4691,81,51,United-States,<=50K
34,Local-gov,205232,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6502,99,43,United-States,>50K
42,Private,193812,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,4752,228,53,United-States,<=50K
36,Private,199491,Bachelors,11,Divorced,Adm-clerical,Not-in-family,White,Female,6257,133,28,United-States,<=50K
46,Private,200065,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5266,2953,49,United-States,<=50K
23,Private,160304,Some-college,9,Never-married,Other-service,Own-child,White,Male,4175,199,41,United-States,<=50K
46,Private,204127,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,4719,293,52,United-States,<=50K
39,Private,92908,HS-grad,8,Never-married,Machine-op-inspct,Not-in-family,Black,Female,4407,123,38,United-States,<=50K
42,Local-gov,166489,Masters,11,Divorced,Prof-specialty,Unmarried,White,Female,5409,117,51,United-States,<=50K
37,Private,90970,HS-grad,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3760,925,39,United-States,<=50K
39,Federal-gov,61983,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7787,44,36,United-States,>50K
32,Private,167749,Bachelors,11,Divorced,Exec-managerial,Not-in-family,White,Female,6093,155,45,United-States,<=50K
45,Private,182502,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,5347,2726,50,United-States,<=50K
20,Private,150175,HS-grad,10,Never-married,Other-service,Own-child,White,Male,4512,138,32,United-States,<=50K
19,Private,227707,Assoc-voc,10,Never-married,Tech-support,Other-relative,Black,Female,4725,53,28,Jamaica,<=50K
23,Private,107309,Assoc-acdm,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,5201,76,34,United-States,<=50K
37,Federal-gov,62571,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7775,49,36,United-States,>50K
51,Private,198358,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5761,3003,46,United-States,<=50K
62,Private,317013,Some-college,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4250,442,51,United-States,>50K
47,Private,232595,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,4600,260,52,United-States,<=50K
53,Private,150069,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,6171,3004,45,United-States,<=50K
56,Private,151701,Masters,11,Married-civ-spouse,Other-service,Husband,White,Male,6530,3004,44,United-States,<=50K
37,Private,140070,Some-college,10,Divorced,Sales,Not-in-family,White,Female,5128,92,50,United-States,<=50K
36,Private,146590,Bachelors,11,Divorced,Exec-managerial,Not-in-family,White,Female,6330,98,35,United-States,<=50K
36,Private,263163,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Female,5474,82,25,United-States,<=50K
35,Private,164964,Bachelors,11,Divorced,Adm-clerical,Not-in-family,White,Female,6162,97,33,United-States,<=50K
40,Private,89389,HS-grad,7,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,4172,145,37,United-States,<=50K
34,Self-emp-not-inc,105023,Bachelors,12,Married-civ-spouse,Other-service,Husband,White,Male,6104,75,32,United-States,>50K
28,Private,167019,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,5139,102,39,United-States,>50K
30,Local-gov,267168,Masters,13,Divorced,Prof-specialty,Unmarried,White,Female,7018,47,44,United-States,<=50K
34,Private,149612,Some-college,10,Divorced,Priv-house-serv,Not-in-family,White,Female,5017,206,52,United-States,<=50K
52,Private,189700,Some-college,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,4234,248,55,United-States,>50K
46,Private,233499,Some-college,9,Widowed,Handlers-cleaners,Not-in-family,White,Male,4725,275,53,United-States,<=50K
29,Private,147628,Some-college,9,Married-civ-spouse,Other-service,Husband,White,Male,4812,83,42,United-States,>50K
51,Private,261883,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,4543,228,49,United-States,<=50K
38,Local-gov,192727,Masters,11,Divorced,Prof-specialty,Unmarried,White,Female,5804,87,48,United-States,<=50K
47,Private,92831,Some-college,7,Married-civ-spouse,Sales,Husband,White,Male,3752,937,42,United-States,<=50K
29,Private,121192,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,5173,53,40,Jamaica,<=50K
57,State-gov,239855,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4532,328,51,United-States,>50K
63,Self-emp-not-inc,19265,Bachelors,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7963,37,29,United-States,>50K
49,Private,253751,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4788,44,49,United-States,<=50K
40,Private,91651,HS-grad,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,3951,361,37,United-States,<=50K
47,Private,211221,9th,8,Never-married,Adm-clerical,Not-in-family,White,Female,4653,40,29,Poland,<=50K
34,Local-gov,217175,Masters,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,5990,103,48,United-States,>50K
